Day,Day_Temperature,Night_Temperature
1,17,11
2,18,10
3,20,11
4,21,10
5,18,11
6,20,11
7,20,11
8,18,10
9,18,11
10,19,11
11,18,12
12,22,12
13,20,12
14,20,10
15,21,11
16,20,12
17,19,10
18,22,9
19,19,12
20,15,8
21,19,7
22,19,9
23,19,8
24,21,10
25,22,13
26,20,14
27,27,15
28,26,15
29,26,14
30,25,13
31,27,14
1,25,14
2,28,14
3,27,15
4,24,13
5,27,14
6,28,14
7,26,15
8,23,15
9,26,15
10,27,13
11,25,16
12,26,19
13,28,18
14,29,17
15,31,17
16,27,17
17,28,17
18,25,17
19,24,13
20,23,11
21,23,13
22,23,15
23,24,18
24,26,18
25,24,15
26,24,13
27,25,14
28,26,16
29,26,17
30,23,16
1,26,17
2,25,16
3,25,17
4,22,15
5,24,14
6,27,14
7,28,16
8,28,16
9,24,18
10,21,17
11,24,16
12,26,16
13,28,16
14,24,16
15,24,15
16,25,17
17,21,17
