Day,Day_Temperature,Night_Temperature
1,23,14
2,21,15
3,22,17
4,19,13
5,18,13
6,18,14
7,17,13
8,13,9
9,13,8
10,17,8
11,16,11
12,19,11
13,21,11
14,22,14
15,21,17
16,17,10
17,11,8
18,15,8
19,21,8
20,17,10
21,16,11
22,17,10
23,19,10
24,21,13
25,19,11
26,20,12
27,19,11
28,18,10
29,18,11
30,17,11
31,16,10
1,19,13
2,17,12
3,18,13
4,19,13
5,21,12
6,20,12
7,17,12
8,18,11
9,15,7
10,9,5
11,12,5
12,11,7
13,10,5
14,15,4
15,16,8
16,20,12
17,19,11
18,20,13
19,21,13
20,18,11
21,11,8
22,9,8
23,13,5
24,13,6
25,17,6
26,16,8
27,17,7
28,11,6
29,10,5
30,8,4
31,10,5
1,13,5
2,17,5
3,15,8
4,17,8
5,20,9
6,20,11
7,19,12
8,21,12
9,20,11
10,19,12
11,18,15
12,19,12
13,17,11
14,16,9
15,12,8
16,12,10
17,15,9
18,19,7
19,18,8
20,17,10
21,15,10
22,18,11
23,22,12
24,21,12
25,22,13
26,17,11
27,19,13
28,19,15
29,21,15
1,17,11
2,18,10
3,20,11
4,21,10
5,18,11
6,20,11
7,20,11
8,18,10
9,18,11
10,19,11
11,18,12
12,22,12
13,20,12
14,20,10
15,21,11
16,20,12
17,19,10
18,22,9
19,19,12
20,15,8
21,19,7
22,19,9
23,19,8
24,21,10
25,22,13
26,20,14
27,27,15
28,26,15
29,26,14
30,25,13
31,27,14
1,25,14
2,28,14
3,27,15
4,24,13
5,27,14
6,28,14
7,26,15
8,23,15
9,26,15
10,27,13
11,25,16
12,26,19
13,28,18
14,29,17
15,31,17
16,27,17
17,28,17
18,25,17
19,24,13
20,23,11
21,23,13
22,23,15
23,24,18
24,26,18
25,24,15
26,24,13
27,25,14
28,26,16
29,26,17
30,23,16
1,26,17
2,25,16
3,25,17
4,22,15
5,24,14
6,27,14
7,28,16
8,28,16
9,24,18
10,21,17
11,24,16
12,26,16
13,28,16
14,24,16
15,24,15
16,25,17
17,21,17
