,Datum,Wochentag,Tagestemperatur,Nachttemperatur
0,2019-05-02,Thursday,24.13846695827537,11.211282881072684
1,2019-05-03,Friday,25.3760475643609,22.287856993779734
2,2019-05-04,Saturday,22.825021679721576,14.87144913298965
3,2019-05-05,Sunday,27.32824831132796,16.376445562627648
4,2019-05-06,Monday,26.381243024135543,17.22789985381166
5,2019-05-07,Tuesday,25.249821403979382,18.063515279044868
6,2019-05-08,Wednesday,26.279915982432016,18.70452613182127
7,2019-05-09,Thursday,26.523005049093364,24.329180968755715
8,2019-05-10,Friday,23.746646623973735,19.10872974934619
9,2019-05-11,Saturday,27.159067162819913,16.816727764516855
10,2019-05-12,Sunday,26.354254702830247,17.62869154224896
11,2019-05-13,Monday,27.24177813423828,20.352735878377814
12,2019-05-14,Tuesday,27.674780117227137,16.02322799142701
13,2019-05-15,Wednesday,24.3653304630146,16.097909004158232
14,2019-05-16,Thursday,24.533286122348713,14.108868564336033
15,2019-05-17,Friday,29.281049342390396,10.45400855655371
16,2019-05-18,Saturday,21.258173275561884,17.611435394358043
17,2019-05-19,Sunday,24.591815168080604,13.81796746428681
18,2019-05-20,Monday,19.839801157066283,20.911002601709367
19,2019-05-21,Tuesday,25.890588402276457,18.629665234402758
20,2019-05-22,Wednesday,24.64466044373682,15.831213722697308
21,2019-05-23,Thursday,24.7014512164051,11.328078838735685
22,2019-05-24,Friday,27.691857904742744,17.387994355336044
23,2019-05-25,Saturday,28.50819846335631,19.385483826518964
24,2019-05-26,Sunday,18.97161318665364,16.050612698679338
25,2019-05-27,Monday,29.450626591208106,16.474643882031238
26,2019-05-28,Tuesday,27.337671344265082,13.027654885460294
27,2019-05-29,Wednesday,24.43190349817235,16.71023468286047
28,2019-05-30,Thursday,22.878240366338943,17.27027930076563
29,2019-05-31,Friday,24.2758467861362,13.041773748396107
30,2019-06-01,Saturday,30.147695956022496,18.600141460486004
31,2019-06-02,Sunday,31.868731662762595,17.254678057108475
32,2019-06-03,Monday,25.204007394985585,14.005656603293414
33,2019-06-04,Tuesday,26.530591285874177,15.80871442715826
34,2019-06-05,Wednesday,27.45464276049819,19.729991360290853
35,2019-06-06,Thursday,25.377544392599273,19.2602757024354
36,2019-06-07,Friday,28.844162616827443,11.102809920211877
37,2019-06-08,Saturday,28.943365651259647,12.943672041034596
38,2019-06-09,Sunday,28.50761561234647,15.58047940031226
39,2019-06-10,Monday,29.55149124505247,15.575055160383718
40,2019-06-11,Tuesday,23.426069895473127,14.2189956658385
41,2019-06-12,Wednesday,26.294466481240985,9.633984621920282
42,2019-06-13,Thursday,25.208527699620422,16.57638525468597
43,2019-06-14,Friday,20.568291670778194,17.851453824895952
44,2019-06-15,Saturday,23.529159421537653,15.566671039386211
45,2019-06-16,Sunday,28.55071717178911,14.748047180842912
46,2019-06-17,Monday,26.307558990922082,14.116441999093793
47,2019-06-18,Tuesday,20.766642943415633,19.342344139248627
48,2019-06-19,Wednesday,22.97828337462676,19.324776775464425
49,2019-06-20,Thursday,27.448106336111692,12.700599572257737
50,2019-06-21,Friday,24.96829009879162,14.309042133989198
51,2019-06-22,Saturday,31.332343203648964,19.96492599067225
52,2019-06-23,Sunday,31.060798156103708,21.229215762583856
53,2019-06-24,Monday,26.082079531758797,13.388140202174046
54,2019-06-25,Tuesday,27.476677316184716,16.549757126747807
55,2019-06-26,Wednesday,23.66560246536532,15.985717690067302
56,2019-06-27,Thursday,26.578063883823106,15.99553170290523
57,2019-06-28,Friday,27.29491627478618,15.533635284186438
58,2019-06-29,Saturday,28.800334364828583,14.888755748227453
59,2019-06-30,Sunday,24.848830900928863,13.974190136086943
60,2019-07-01,Monday,30.890541929536962,13.699846582007723
61,2019-07-02,Tuesday,19.603394963768615,13.864536846185839
62,2019-07-03,Wednesday,25.934917599891815,16.193357630376546
63,2019-07-04,Thursday,20.147277307637843,22.578424633330314
64,2019-07-05,Friday,28.39233657234074,14.619251967565175
65,2019-07-06,Saturday,24.94575505044116,16.581628941141958
66,2019-07-07,Sunday,26.256853307886242,15.806125052441397
67,2019-07-08,Monday,27.253519351596324,19.700504801071695
68,2019-07-09,Tuesday,21.79066633073986,16.10957180498479
69,2019-07-10,Wednesday,26.328140396727377,20.134115329280863
70,2019-07-11,Thursday,27.15493214976077,15.481235241886793
71,2019-07-12,Friday,23.477802740853768,14.338065347108568
72,2019-07-13,Saturday,22.797290251541817,18.64433952320132
73,2019-07-14,Sunday,29.618649285362334,15.201108568194563
74,2019-07-15,Monday,23.75570554925843,15.970536531569362
75,2019-07-16,Tuesday,28.3650729593035,15.441080440863109
76,2019-07-17,Wednesday,28.47089313262789,15.965097599047782
77,2019-07-18,Thursday,24.887225749071685,19.424741016043853
78,2019-07-19,Friday,29.800581055984193,18.771311740389226
79,2019-07-20,Saturday,28.703369333659282,15.3704318803304
80,2019-07-21,Sunday,29.858192078840695,16.819471979470737
81,2019-07-22,Monday,22.88008607019821,18.339609862096978
82,2019-07-23,Tuesday,23.528597535561225,10.717378893224721
83,2019-07-24,Wednesday,29.43028267019452,16.133849421011913
84,2019-07-25,Thursday,23.711850357104186,11.386653990183607
85,2019-07-26,Friday,25.972968919877285,14.456035474317478
86,2019-07-27,Saturday,26.86146589561577,14.612027699929751
87,2019-07-28,Sunday,26.303899892871062,22.816556651366795
88,2019-07-29,Monday,23.653079836700382,14.968750429170246
89,2019-07-30,Tuesday,29.81325273143191,21.188757498176926
90,2019-07-31,Wednesday,27.157170307988963,17.10577051738968
91,2019-08-01,Thursday,20.663852836801983,16.874816613835375
92,2019-08-02,Friday,24.74056307694144,19.7181224837663
93,2019-08-03,Saturday,22.246711666309345,16.324401453546106
94,2019-08-04,Sunday,31.635503882859865,19.437077686006916
95,2019-08-05,Monday,23.746312751137868,16.101634314873106
96,2019-08-06,Tuesday,20.29634547139183,16.31951009419457
97,2019-08-07,Wednesday,23.36129224918264,12.901376787378407
98,2019-08-08,Thursday,24.040360934859706,17.194744283123416
